Median Houses  Prices 4th Quarter 2020,,,,,,,,Change %,Change %
KEW NORTH,1770000,2221500,1600000,1800000,1760000,14,44,-0.6,-2.2
KEYSBOROUGH,747500,773500,720000,763000,801000,90,257,7.2,5.0
KIALLA,470000,420000,455000,495000,502000,41,123,6.8,1.4
KILCUNDA,567500,662000,662500,580000,770000,5,13,35.7,32.8
KILLARA (WODONGA),430000,421000,427500,470000,502000,10,44,16.7,6.8
KILMORE,435000,476300,457500,470000,495000,37,130,13.8,5.3
KILSYTH,682500,693300,658000,640000,709000,44,146,3.9,10.8
KILSYTH SOUTH,854000,856500,875000,912000,820000,5,17,-4.0,-10.1
KINGLAKE,550000,620000,585000,530000,600000,5,18,9.1,13.2
KINGS PARK,522500,550000,530000,525000,562500,28,73,7.7,7.1
KINGSBURY,700800,722000,685000,912500,766300,6,23,9.3,-16.0
KINGSVILLE,998000,923500,1007000,1040000,1030000,19,40,3.2,-1.0
KNOXFIELD,784500,812400,790000,801000,830000,13,54,5.8,3.6
KOO WEE RUP,547500,510000,486300,489500,600000,13,44,9.6,22.6
KOONDROOK,231300,215000,170000,335000,254000,3,18,9.8,-24.2
KOROIT,380000,360000,365000,425000,448500,12,38,18.0,5.5
KORUMBURRA,316300,385000,390000,360000,392500,26,84,24.1,9.0
KURUNJANG,429000,425000,416000,443800,425000,51,146,-0.9,-4.2
KYABRAM,262500,267000,280000,320000,285000,41,120,8.6,-10.9
KYNETON,622500,617500,570000,620000,675000,36,111,8.4,8.9
LAKE BOLAC,162000,205000,208800,208800,170000,5,8,4.9,NA
LAKE GARDENS,517500,638000,661300,624000,607500,10,28,17.4,-2.6
LAKE TYERS BEACH,357500,351000,308000,355000,485000,12,29,35.7,36.6
LAKE WENDOUREE,855000,1200000,1200000,770000,1315000,10,41,53.8,70.8
LAKES ENTRANCE,331500,330000,313500,390000,390000,45,144,17.6,0.0
LALOR,627000,625000,590000,629800,645000,62,180,2.9,2.4
LANCEFIELD,545000,510000,537500,632000,540000,9,24,-0.9,-14.6
LANG LANG,507000,530000,530000,560000,550000,9,30,8.5,-1.8
LANGWARRIN,631500,645000,632800,650000,687500,105,284,8.9,5.8
LARA,484500,552500,500000,550000,507500,14,67,4.7,-7.7
LARA LAKE,550500,560800,545000,580000,586000,43,151,6.4,1.0
LAUNCHING PLACE,566300,522500,600000,535000,592500,14,32,4.6,10.7
LAVERTON,508400,560000,533500,568000,570000,23,75,12.1,0.4
LAVERTON SOUTH,650000,652500,645000,630000,656500,28,68,1.0,4.2
LEITCHVILLE,110500,84300,123500,141000,145000,1,11,31.2,2.8
LENEVA,420500,455000,441000,425000,512500,10,22,21.9,20.6
LEONGATHA,360000,395000,380000,390000,475000,39,109,31.9,21.8
LEOPOLD,520000,535000,523800,517500,542000,82,259,4.2,4.7
LILYDALE,700000,725000,688500,699900,752500,54,170,7.5,7.5
LINTON,433800,337500,309300,338000,242000,1,9,-44.2,-28.4
LOCH SPORT,242500,239500,221500,272000,261300,30,94,7.7,-4.0
LONG GULLY,303500,271000,290500,303800,340000,11,53,12.0,11.9
LONGWARRY,442500,453000,417500,430000,425000,15,44,-4.0,-1.2
LORNE,1400000,1625000,1020000,1447500,1425000,18,53,1.8,-1.6
LOVELY BANKS,533100,563000,532500,580000,565000,11,26,6.0,-2.6
LOWER PLENTY,950000,1311500,912200,785000,617500,6,21,-35.0,-21.3
LUCAS,465000,480000,440000,465000,510000,32,96,9.7,9.7
LUCKNOW,265000,435000,343000,241000,280800,6,20,5.9,16.5
LYNBROOK,650000,615000,690000,640000,700000,30,76,7.7,9.4
LYNDHURST,707500,695000,700800,710000,712000,39,103,0.6,0.3
LYSTERFIELD,951400,1145300,945000,985000,1100000,25,58,15.6,11.7
MACEDON,718000,880000,885000,1000000,850000,4,17,18.4,-15.0
MACLEOD,920000,975000,950000,1016600,970000,25,76,5.4,-4.6
MADDINGLEY,440000,518000,517000,522500,527500,24,79,19.9,1.0
MAFFRA,274500,274300,303800,292500,325000,41,115,18.4,11.1
MAIDEN GULLY,505000,517500,560000,570000,650000,25,65,28.7,14.0
MAIDSTONE,839000,775000,750000,735000,840000,22,76,0.1,14.3
MALDON,532500,424500,410000,517300,578000,19,51,8.5,11.7
MALLACOOTA,305000,400000,355000,315000,425000,7,25,39.3,34.9
MALVERN,2725000,2520000,2300000,2500000,3095000,28,74,13.6,23.8
MALVERN EAST,1787500,1700000,2090000,1625000,1990500,66,184,11.4,22.5
MANIFOLD HEIGHTS,752500,1134500,960000,892500,785000,15,37,4.3,-12.0
MANOR LAKES,563500,555000,545000,561300,606500,64,168,7.6,8.1
MANSFIELD,440000,440000,460000,495000,520000,37,96,18.2,5.1
MARIBYRNONG,910000,927500,985000,900000,917000,33,89,0.8,1.9
MARLO,380000,392000,417500,417500,397500,6,8,4.6,NA
MARONG,375000,375000,465000,456000,465000,13,33,24.0,2.0
MARSHALL,480000,485000,499000,510000,512000,11,45,6.7,0.4
MARYBOROUGH,241000,260000,265000,265000,289000,48,169,19.9,9.1
MARYSVILLE,350000,350000,415000,486500,455000,7,10,30.0,-6.5
MCCRAE,815000,850000,960000,887500,1269000,26,76,55.7,43.0
MCKENZIE HILL,520000,537500,584000,560000,549000,5,20,5.6,-2.0
MCKINNON,1525000,1750000,1635000,1522500,1838000,12,36,20.5,20.7
MCLOUGHLINS BEACH,227000,145000,246500,129000,259800,6,15,14.4,101.4
MEADOW HEIGHTS,511000,482500,507500,484000,500000,29,108,-2.2,3.3
MELTON,385000,413800,390000,375000,395300,38,118,2.7,5.4
MELTON SOUTH,391000,401000,397500,421000,450000,65,170,15.1,6.9
MELTON WEST,420000,470000,456000,469000,490000,47,131,16.7,4.5
MENTONE,1145000,972500,1160000,1035000,1083800,36,84,-5.3,4.7
MERBEIN,210000,198300,168000,195000,247000,17,53,17.6,26.7
MERINDA PARK,508000,545000,482000,518800,535000,14,37,5.3,3.1
MERNDA,560000,551000,560000,560000,595300,112,306,6.3,6.3
METUNG,390000,450000,455000,465000,330000,9,52,-15.4,-29.0
MICKLEHAM,545000,551000,550000,595000,610000,81,261,11.9,2.5
MIDDLE PARK,3100000,3032500,1993000,2597500,2667500,14,40,-14.0,2.7
MILDURA,335100,315000,335100,332500,351300,200,645,4.8,5.6
MILL PARK,684000,686000,700000,689000,690500,88,219,1.0,0.2
MILLGROVE,425000,430000,430000,406300,430500,10,39,1.3,6.0
MINERS REST,420000,438000,420000,440000,476000,19,74,13.3,8.2
MINYIP,140000,95000,65300,67500,122500,2,16,-12.5,81.5
MIRBOO NORTH,322500,312500,325000,381500,390000,9,33,20.9,2.2
MITCHAM,1040000,1092500,974500,902000,1121500,34,124,7.8,24.3
MITCHELL PARK,305000,325000,330000,310000,332500,4,11,9.0,7.3
MOE,241300,235000,209000,280000,260000,57,195,7.8,-7.1
MOGGS CREEK,1500000,1010000,1350000,1350000,1350000,0,7,NA,NA
MONBULK,663000,633500,620000,645000,720000,17,58,8.6,11.6
MONT ALBERT,1655000,2050000,1478000,2560000,2208900,9,25,33.5,-13.7
MONT ALBERT NORTH,1551000,1577500,1345000,1357900,1409500,20,43,-9.1,3.8
MONTMORENCY,870000,904300,922800,945000,902000,31,82,3.7,-4.6
MONTROSE,735000,720000,710000,757000,737000,19,54,0.3,-2.6
MOONEE PONDS,1351000,1315000,1242500,1230000,1300000,43,116,-3.8,5.7
MOORABBIN,1177500,1177500,1040000,1059000,1148000,18,65,-2.5,8.4
MOOROOLBARK,733500,723000,687000,712500,732800,80,255,-0.1,2.8
MOOROOPNA,231800,265000,223800,266800,292500,42,139,26.2,9.7
MORDIALLOC,1022500,1100000,997500,988000,1060000,17,55,3.7,7.3
MORNINGTON,872500,893000,860000,835000,903500,131,383,3.6,8.2
MORTLAKE,165000,185500,180000,245000,312000,13,37,89.1,27.3
MORWELL,183000,180000,185000,213800,225000,138,390,23.0,5.3
MOUNT BEAUTY,290000,293500,317500,309000,355500,12,27,22.6,15.0
MOUNT CLEAR,407500,422500,400000,403800,425000,12,63,4.3,5.3
MOUNT DANDENONG,820000,817000,692500,743500,927500,8,21,13.1,24.7
MOUNT DUNEED,583000,570000,580000,575000,620000,38,95,6.3,7.8
MOUNT ELIZA,1227500,1280000,1200000,1262500,1405000,112,290,14.5,11.3
MOUNT EVELYN,666100,705000,720000,722500,708000,39,115,6.3,-2.0
MOUNT HELEN,509000,450000,440000,460000,514000,22,66,1.0,11.7
MOUNT MACEDON,850000,1035800,1140000,965000,1050000,7,20,23.5,8.8
MOUNT MARTHA,1510000,1400000,1335000,1242500,1567500,42,123,3.8,26.2
MOUNT PLEASANT,341500,415000,372500,390000,422500,16,36,23.7,8.3
MOUNT WAVERLEY,1329300,1313000,1310000,1255800,1260000,83,262,-5.2,0.3
MULGRAVE,854000,846300,815000,825000,902500,56,176,5.7,9.4
MURCHISON,253500,275000,308000,231800,340000,4,14,34.1,46.7
MURRUMBEENA,1401300,1495000,1599000,1483000,1375000,25,52,-1.9,-7.3
MURTOA,125000,145000,122500,148500,129000,4,24,3.2,-13.1
MYRTLEFORD,332500,351300,370000,396500,385000,19,66,15.8,-2.9
NAGAMBIE,430000,457500,423800,490000,440500,8,31,2.4,-10.1
NARRE WARREN,620000,600000,595000,600000,633500,114,302,2.2,5.6
NARRE WARREN NORTH,1064500,1185000,1050000,1084000,1190000,15,34,11.8,9.8
NARRE WARREN SOUTH,636800,647500,645000,671300,685000,117,312,7.6,2.0
NATHALIA,225000,240000,270000,242500,256000,14,35,13.8,5.6
NEERIM SOUTH,520000,577500,425000,511500,457500,8,19,-12.0,-10.6
NERRINA,440000,625000,411000,597500,735000,12,35,67.0,23.0
NEW GISBORNE,717500,682500,715000,716500,816000,10,27,13.7,13.9
NEWBOROUGH,247000,272500,308000,302000,315000,29,125,27.5,4.3
NEWCOMB,434000,468000,437500,471400,525000,20,73,21.0,11.4
NEWINGTON,516300,605000,575000,908500,820000,9,24,58.8,-9.7
NEWLANDS ARM,430500,422800,720000,541300,464000,6,20,7.8,-14.3
NEWPORT,1000000,1095000,1002000,1100000,1132000,44,134,13.2,2.9
NEWSTEAD,462500,419000,419000,480000,672500,2,10,45.4,40.1
NEWTOWN (GREATER GEELONG),906000,1002500,880000,911000,994800,48,165,9.8,9.2
NHILL,109500,107500,206800,189000,135000,13,51,23.3,-28.6
NICHOLS POINT,465500,435000,450000,640000,550000,1,5,18.2,-14.1
NIDDRIE,1050000,876300,897500,975300,1140000,35,77,8.6,16.9
NOBLE PARK,655000,653000,625000,650000,708000,53,153,8.1,8.9
NOBLE PARK NORTH,660000,676000,645000,637000,672500,22,44,1.9,5.6
NORLANE,350000,366500,363500,374300,375800,48,124,7.4,0.4
NORTH BENDIGO,315000,360000,400000,377500,413800,20,73,31.3,9.6
NORTH GEELONG,548000,682500,555000,525000,520000,15,57,-5.1,-1.0
NORTH MELBOURNE,1510000,1135000,1061100,1235500,1104000,14,40,-26.9,-10.6
NORTH WONTHAGGI,357000,410000,366500,435000,418000,30,71,17.1,-3.9
NORTHCOTE,1465000,1400000,1431000,1348000,1411000,69,182,-3.7,4.7
NUMURKAH,230000,232000,235000,249000,237300,26,72,3.2,-4.7
NUNAWADING,1044400,1170500,930000,951000,1085000,26,88,3.9,14.1
NYAH WEST,97000,120000,120000,129000,130000,3,11,34.0,0.8
OAK PARK,926000,1005800,875000,887500,928000,19,58,0.2,4.6
OAKLEIGH,1135000,1200000,1065000,1490000,1350500,12,43,19.0,-9.4
OAKLEIGH EAST,959000,967000,995000,940500,968900,7,23,1.0,3.0
OAKLEIGH SOUTH,1112500,1015000,970100,970000,1048000,19,77,-5.8,8.0
OCEAN GROVE,752500,711300,740000,785000,830500,136,415,10.4,5.8
OFFICER,554000,587500,600000,590000,587500,116,306,6.0,-0.4
OFFICER SOUTH,707000,864000,394000,610000,550000,2,9,-22.2,-9.8
OLINDA,815000,710000,590000,1150000,815000,9,20,0.0,-29.1
OMEO,242500,238000,238000,230000,357000,2,10,47.2,55.2
ORBOST,180000,177500,217000,215000,241000,28,66,33.9,12.1
ORMOND,1755000,1490000,1595000,1695000,1515000,13,43,-13.7,-10.6
OSBORNE,830000,853000,850000,820800,875000,50,113,5.4,6.6
OUYEN,75000,143800,70500,100000,140000,19,42,86.7,40.0
PAKENHAM,504500,530000,495000,525000,544300,304,906,7.9,3.7
PARADISE BEACH,235000,248000,183000,340000,250000,7,18,6.4,-26.5
PARK ORCHARDS,1835000,1570000,1500000,1530000,1610000,7,15,-12.3,5.2
PARKDALE,1285000,1201000,1160000,1077500,1250000,29,105,-2.7,16.0
PASCOE VALE,872500,927500,940000,930000,927500,31,114,6.3,-0.3
PASCOE VALE SOUTH,1130000,957500,1055000,950000,1080500,24,48,-4.4,13.7
PATTERSON GARDENS,946000,967500,905000,1040000,970000,9,23,2.5,-6.7
PATTERSON LAKES,1037500,1300000,890000,1008000,1008900,18,50,-2.8,0.1
PAYNESVILLE,370000,404000,318500,429000,392500,48,128,6.1,-8.5
PEARCEDALE,700000,705000,580000,597500,645000,11,35,-7.9,7.9
PETERBOROUGH,825000,650000,650000,430000,700000,2,11,-15.2,62.8
PIONEER BAY,295000,312500,375000,390000,390000,3,15,32.2,0.0
PLENTY,1301000,1110000,1245000,1520000,1203800,6,17,-7.5,-20.8
POINT COOK,650000,660000,655000,640000,705000,181,477,8.5,10.2
POINT LONSDALE,845000,995000,825000,865000,850000,31,83,0.6,-1.7
POREPUNKAH,467000,467500,595500,699500,724500,2,14,55.1,3.6
PORT ALBERT,219000,461000,327500,262500,275000,4,15,25.6,4.8
PORT FAIRY,650000,632500,615000,663000,705000,32,79,8.5,6.3
PORT MELBOURNE,1680000,1710000,1450000,1590000,1400000,39,115,-16.7,-11.9
PORT WELSHPOOL,300000,330000,283000,340000,315000,4,17,5.0,-7.4
PORTARLINGTON,625000,650000,722000,747000,675000,37,92,8.0,-9.6
PORTLAND,282000,317500,267500,280000,315000,73,245,11.7,12.5
PORTLAND NORTH,332500,541000,541000,541000,465000,5,9,39.8,NA
PORTSEA,1860000,2680000,2100000,1600000,2725000,20,56,46.5,70.3
PRAHRAN,1575000,1588500,1575000,1872500,1602500,42,125,1.7,-14.4
PRESTON,1043500,1026000,995000,989000,1052800,70,208,0.9,6.4
PRINCES HILL,2212500,1332000,1743100,1300000,2080500,4,21,-6.0,60.0
PYRAMID HILL,130000,115000,115000,120000,155000,3,10,19.2,29.2
QUARRY HILL,390000,369000,377500,442500,495000,18,45,26.9,11.9
QUEENSCLIFF,1105000,962500,905000,850000,1415000,14,46,28.1,66.5
RAINBOW,67000,77500,60000,73500,90500,4,17,35.1,23.1
RAYMOND ISLAND,365000,650000,565000,431800,383500,6,20,5.1,-11.2
RED CLIFFS,210200,210000,250000,270000,285000,15,65,35.6,5.6
RED HILL,-,-,860000,765000,1010000,2,8,0.0,32.0
REDAN,369000,357500,367500,400000,422500,17,64,14.5,5.6
RESEARCH,1025000,1400000,927500,1080000,1014000,6,20,-1.1,-6.1
RESERVOIR,795000,827000,790000,765000,829000,129,359,4.3,8.4
RHYLL,875000,495000,571500,576800,797800,8,21,-8.8,38.3
RICHMOND,1335000,1249500,1341000,1260000,1400000,79,190,4.9,11.1
RIDDELLS CREEK,662500,685000,650000,650000,703000,12,31,6.1,8.2
RINGWOOD,813500,937500,896500,845000,900000,46,127,10.6,6.5
RINGWOOD EAST,885000,925000,860000,830000,850000,28,73,-4.0,2.4
RINGWOOD NORTH,928000,890500,961000,945600,1015500,30,94,9.4,7.4
ROBINVALE,220000,196000,265000,275000,273500,8,31,24.3,-0.5
ROCHESTER,255000,235000,220000,255000,255000,14,57,0.0,0.0
ROCKBANK,512000,480000,387500,483000,465000,15,30,-9.2,-3.7
ROMSEY,580300,627500,590000,611900,645000,29,84,11.2,5.4
ROSANNA,1126000,1105000,1200000,1125000,1160000,27,61,3.0,3.1
ROSEBUD,560000,582500,535000,590000,628500,78,263,12.2,6.5
ROSEBUD SOUTH,730000,865000,650000,802500,760000,31,76,4.1,-5.3
ROSEDALE,215000,218000,260000,305000,247500,10,35,15.1,-18.9
ROWVILLE,860000,805000,822500,850000,875200,93,311,1.8,3.0
ROXBURGH PARK,570000,579000,550000,570000,580000,66,206,1.8,1.8
RUPANYUP,85000,140000,140000,65000,88000,6,12,3.5,35.4
RUSHWORTH,258000,185000,200000,235000,239800,10,28,-7.1,2.0
RUTHERGLEN,275000,330000,350000,340000,375000,13,36,36.4,10.3
RYE,690000,725000,722000,754500,902000,137,341,30.7,19.5
SAFETY BEACH,800000,970000,912400,840000,856500,40,124,7.1,2.0
SAILORS GULLY,257000,211000,260000,346000,305000,3,13,18.7,-11.8
SALE,329000,345000,271000,355000,363000,95,287,10.3,2.3
SAN REMO,475000,596300,500000,564500,716500,14,43,50.8,26.9
SANCTUARY LAKES,638000,620000,672000,680000,650000,113,315,1.9,-4.4
SANDHURST,887500,790000,810000,720000,802500,24,77,-9.6,11.5
SANDRINGHAM,1710000,1790000,1776000,1987500,1849500,34,94,8.2,-6.9
SANDY POINT,445000,550000,550000,485000,599000,7,27,34.6,23.5
SASSAFRAS,860500,768000,809000,2660000,755000,7,11,-12.3,-71.6
SAWMILL SETTLEMENT,404500,305000,318500,302000,550000,5,13,36.0,82.1
SCORESBY,863100,790000,760500,747500,816500,13,44,-5.4,9.2
SEA LAKE,97500,121500,80500,108000,184000,1,18,88.7,70.4
SEABROOK,673000,655000,647500,625000,681500,14,54,1.3,9.0
SEAFORD,685000,690000,677500,696000,720000,65,202,5.1,3.4
SEAHOLME,1100000,960000,895000,955000,937600,8,22,-14.8,-1.8
SEASPRAY,345000,443000,330000,235000,260000,9,19,-24.6,10.6
SEBASTOPOL,320000,344500,327500,341000,349000,52,169,9.1,2.3
SEDDON,960000,1100000,1100000,1062500,1070000,35,79,11.5,0.7
SELBY,597500,705000,743500,585300,722500,10,21,20.9,23.5
SEVILLE,717500,622800,595000,625100,642500,6,22,-10.5,2.8
SEYMOUR,312500,310000,340000,322500,325000,17,86,4.0,0.8
SHEPPARTON,274000,280000,310000,310000,320000,177,542,16.8,3.2
SHEPPARTON NORTH,534500,397000,527500,465000,366000,12,23,-31.5,-21.3
SILVERLEAVES,575000,620000,575000,770000,860000,5,17,49.6,11.7
SKIPTON,205000,212000,168000,265000,223000,2,9,8.8,-15.8
SKYE,610000,608500,613500,600000,615000,24,88,0.8,2.5
SMITHS BEACH,595000,560000,742000,640000,580000,5,19,-2.5,-9.4
SMYTHESDALE,290000,420000,422500,525000,435000,1,15,50.0,-17.1
SOLDIERS HILL,479000,554000,545000,515000,615800,20,70,28.5,19.6
SOMERS,1050000,880000,945000,1160000,1452500,12,43,38.3,25.2
SOMERVILLE,600000,606000,637000,610000,669000,56,155,11.5,9.7
SORRENTO,1440000,1500000,1625800,1435000,1900000,63,136,31.9,32.4
SOUTH GEELONG,691500,679000,679000,1065000,810000,3,6,17.1,-23.9
SOUTH KINGSVILLE,859000,975000,1146000,792000,992000,13,28,15.5,25.3
SOUTH MELBOURNE,1720000,1550000,1337500,1650000,1685000,39,91,-2.0,2.1
SOUTH MORANG,661000,661000,609000,658800,636000,63,212,-3.8,-3.5
SOUTH YARRA,1715500,2068800,1655000,2100000,2006000,41,99,16.9,-4.5
SPOTSWOOD,1020000,1135000,906000,902500,997500,6,25,-2.2,10.5
SPRING GULLY,382500,381000,405000,423000,482500,16,43,26.1,14.1
SPRINGVALE,762000,813600,755000,765000,802500,28,75,5.3,4.9
SPRINGVALE SOUTH,720000,712000,685000,730000,757500,12,49,5.2,3.8
ST ALBANS,630000,590000,590000,600000,600000,89,240,-4.8,0.0
ST ALBANS PARK,432500,447500,450000,442000,520000,15,51,20.2,17.6
ST ANDREWS BEACH,937500,992500,1370000,1076300,1275000,9,20,36.0,18.5
ST ARNAUD,195000,155000,145000,185500,185000,15,46,-5.1,-0.3
ST HELENA,1001000,990000,905000,1130000,900000,11,27,-10.1,-20.4
ST KILDA,3017500,1292500,1315000,1255000,1304000,30,58,-56.8,3.9
ST KILDA EAST,1565000,1679500,1580000,1352600,1645000,14,40,5.1,21.6
ST KILDA WEST,1737000,2450000,2630000,2650000,3420000,5,15,96.9,29.1
ST LEONARDS,572500,520000,562500,595000,588500,48,123,2.8,-1.1
STANHOPE,237500,186000,215000,356500,191000,6,15,-19.6,-46.4
STAWELL,197000,220000,155000,225000,259000,39,140,31.5,15.1
STRATFORD,302500,318500,315000,335000,330000,10,53,9.1,-1.5
STRATHDALE,490000,521000,410000,497500,550000,31,99,12.2,10.6
STRATHFIELDSAYE,460000,542500,542500,510000,530000,30,90,15.2,3.9
STRATHMERTON,162500,162500,162500,195000,229500,4,8,41.2,17.7
STRATHMORE,1500000,1218000,1287500,1400000,1375000,31,80,-8.3,-1.8
STRATHTULLOH,540000,470000,525000,527500,580000,9,42,7.4,10.0
STUDFIELD,920000,870000,830000,830000,836000,11,17,-9.1,NA
SUNBURY,558000,575000,550000,550000,600000,182,543,7.5,9.1
SUNDERLAND BAY,412000,510800,390000,472000,795000,7,17,93.0,68.4
SUNSET STRIP,475800,510500,410000,489500,540000,10,23,13.5,10.3
SUNSHINE,770000,819500,700000,701000,750000,23,72,-2.6,7.0
SUNSHINE NORTH,677500,655000,647000,650000,700000,27,71,3.3,7.7
SUNSHINE WEST,655000,656300,647500,600000,686000,38,108,4.7,14.3
SURF BEACH,535500,492000,462500,453800,607500,14,31,13.4,33.9
SURREY HILLS,1960000,1902000,1650000,1950000,1900000,35,109,-3.1,-2.6
SWAN HILL,292500,315000,290000,315000,360000,51,164,23.1,14.3
SYDENHAM,599500,620500,635000,653500,649000,23,66,8.3,-0.7
SYNDAL,1579500,1519000,1740000,1600000,1503000,7,43,-4.8,-6.1
TALLANGATTA,260000,325000,165000,255000,307500,8,19,18.3,20.6
TALLYGAROOPNA,269000,173000,285000,285000,370000,1,3,37.5,NA
TARNEIT,555000,561500,575000,563800,575000,247,686,3.6,2.0
TATURA,272500,275000,301600,330000,325000,23,85,19.3,-1.5
TAWONGA SOUTH,382500,375000,380000,491000,432500,6,25,13.1,-11.9
TAYLORS HILL,729000,735000,705000,802500,792500,36,102,8.7,-1.2
TAYLORS LAKES,765000,770000,722500,800000,795500,28,71,4.0,-0.6
TECOMA,797500,727500,667500,723000,890000,8,22,11.6,23.1
TEMPLESTOWE,1312500,1417500,1400000,1345000,1340000,37,111,2.1,-0.4
TEMPLESTOWE LOWER,1200000,1250000,1144300,1160000,1155000,42,130,-3.8,-0.4
TERANG,172000,203500,268000,282500,230000,17,47,33.7,-18.6
THE BASIN,695000,778000,833000,731300,720000,15,47,3.6,-1.5
THE HONEYSUCKLES,350000,285000,465000,322500,370000,1,11,5.7,14.7
THE PATCH,990000,990000,680000,635000,776000,9,15,-21.6,22.2
THOMASTOWN,615000,632000,578500,628800,655000,45,126,6.5,4.2
THOMSON (GREATER GEELONG),425000,419000,420000,437800,433500,8,27,2.0,-1.0
THORNBURY,1250000,1230000,1120000,1200000,1350000,43,128,8.0,12.5
THORNHILL PARK,552500,435000,595000,586000,530000,15,46,-4.1,-9.6
TIMBOON,260000,405000,340000,412500,472500,2,14,81.7,14.5
TONGALA,247500,212500,210000,225000,355000,7,23,43.4,57.8
TOONGABBIE,280300,210000,299000,359000,382500,2,10,36.5,6.5
TOORA,310000,222500,230000,277500,310000,5,13,0.0,11.7
TOORADIN,745000,665000,760000,776300,790000,3,17,6.0,1.8
TOORAK,5000000,4500000,5925000,6000000,4250000,37,85,-15.0,-29.2
TOOTGAROOK,591000,676000,587500,607500,760000,40,99,28.6,25.1
TORQUAY,845000,815000,825000,850000,950000,131,321,12.4,11.8
TRAFALGAR,382500,410000,470000,435000,435000,15,68,13.7,0.0
TRARALGON,342500,319500,333800,347500,349500,186,601,2.0,0.6
TRARALGON EAST,430000,454000,500000,540000,508000,9,21,18.1,-5.9
TRAVANCORE,1250000,1250000,2092500,1055000,1550000,7,12,24.0,46.9
TRENTHAM,615000,592500,585000,645000,650000,9,37,5.7,0.8
TRUGANINA,572500,587000,600000,580000,573000,135,395,0.1,-1.2
TULLAMARINE,619000,675000,597600,615000,630000,21,40,1.8,2.4
TUNGAMAH,155000,115000,115000,178200,230000,5,8,48.4,29.1
TYABB,635000,577000,560000,620000,610000,9,25,-3.9,-1.6
UPPER FERNTREE GULLY,708000,691500,965000,725000,742500,16,34,4.9,2.4
UPWEY,718000,750000,700500,774500,820000,25,74,14.2,5.9
VENTNOR,571000,535000,910000,775000,662500,16,38,16.0,-14.5
VENUS BAY,342500,350000,360000,361800,458300,28,113,33.8,26.7
VERMONT,1040000,1122500,1068000,975000,975000,25,85,-6.3,0.0
VERMONT SOUTH,1260000,1210000,1085000,1020000,1205000,38,90,-4.4,18.1
VIEWBANK,998000,985000,915000,980000,1033500,25,58,3.6,5.5
WAHGUNYAH,350000,395000,395000,264000,269000,6,16,-23.1,1.9
WALLAN,490000,492500,510000,540000,525000,47,140,7.1,-2.8
WALLAN EAST,462000,470000,457000,504300,519000,13,60,12.3,2.9
WANDANA HEIGHTS,878000,980000,697500,719500,844800,12,29,-3.8,17.4
WANDIN NORTH,630000,721300,715000,587500,740000,13,24,17.5,26.0
WANGARATTA,343000,330100,367300,340000,375000,111,379,9.3,10.3
WANTIRNA,877500,930000,850000,885000,923000,37,96,5.2,4.3
WANTIRNA SOUTH,1050000,1088000,969400,940000,1005000,34,117,-4.3,6.9
WARBURTON,490000,552500,530000,494000,640000,21,38,30.6,29.6
WARNEET,606000,625000,566000,600000,500000,5,18,-17.5,-16.7
WARRACKNABEAL,120000,142000,136000,136000,140000,21,53,16.7,2.9
WARRAGUL,473000,485000,490000,476500,526000,125,386,11.2,10.4
WARRANDYTE,1050000,977500,1009000,1075000,992000,15,48,-5.5,-7.7
WARRANWOOD,893300,940000,865000,991000,990000,15,40,10.8,-0.1
WARRNAMBOOL,387000,393800,397500,412500,428300,172,522,10.7,3.8
WATERWAYS,1270000,1422400,1282000,1282000,1658000,7,20,30.6,NA
WATSONIA,791000,826000,761300,782500,830000,14,61,4.9,6.1
WATSONIA NORTH,764000,776800,800000,870500,795000,14,36,4.1,-8.7
WATTLE GLEN,755000,765000,822900,876000,788800,6,19,4.5,-10.0
WAURN PONDS,650000,567500,717500,675000,700000,21,54,7.7,3.7
WEDDERBURN,135300,135300,125000,137500,193000,5,16,42.7,40.4
WEIR VIEWS,430000,472500,494000,498800,509000,30,81,18.4,2.1
WENDOUREE,350000,357500,350000,362500,395000,47,184,12.9,9.0
WENDOUREE WEST,282500,300000,258000,300000,300000,15,33,6.2,0.0
WERRIBEE,510000,515000,513000,526500,539000,219,599,5.7,2.4
WERRIBEE SOUTH,760000,590000,600000,790000,650000,5,17,-14.5,-17.7
WEST FOOTSCRAY,868000,840000,751300,880800,865000,45,124,-0.3,-1.8
WEST MELBOURNE,1640500,1350000,1370000,976000,960000,5,18,-41.5,-1.6
WEST WODONGA,340000,392500,372500,357000,375000,64,218,10.3,5.0
WESTALL,761300,739000,737000,772000,751500,15,42,-1.3,-2.7
WESTGARTH,1472500,1441000,1335000,1600000,1755500,16,32,19.2,9.7
WESTMEADOWS,622500,560000,570000,620000,641300,24,69,3.0,3.4
WHEELERS HILL,1138000,1140000,1122500,1206000,1210000,49,149,6.3,0.3
WHITE HILLS,337500,318500,425000,337000,401000,17,61,18.8,19.0
WHITTINGTON,385000,412000,361300,420000,395000,10,38,2.6,-6.0
WHITTLESEA,601300,604500,573500,619000,630000,31,75,4.8,1.8
WILLIAMS LANDING,700000,687500,671300,670000,695000,24,86,-0.7,3.7
WILLIAMSTOWN,1405000,1510000,1324000,1405000,1395000,54,131,-0.7,-0.7
WILLIAMSTOWN NORTH,1520000,1290000,890000,880000,846000,1,12,-44.3,-3.9
