Suburb,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Postcode,Average income,Lat,Lng
COWES,372500.0,372500.0,380000.0,387500.0,358500.0,417500.0,402500.0,437500.0,540000.0,560000.0,525000.0,3922,44287.562288851346,-38.451111,145.241944
COWES WEST,350000.0,350000.0,345000.0,320000.0,350000.0,329000.0,353500.0,390000.0,485500.0,508500.0,472500.0,3922,44287.562288851346,-38.451111,145.241944
CRAIGIEBURN,360000.0,360000.0,350000.0,360000.0,362000.0,390000.0,425000.0,502500.0,547000.0,530000.0,545000.0,3064,48947.56433383063,-37.59400000000001,144.934
CRANBOURNE,325000.0,325000.0,313000.0,315000.0,331500.0,360000.0,406000.0,510000.0,540000.0,500000.0,516500.0,3977,51538.533920372785,-38.105,145.279
CRANBOURNE EAST,368000.0,368000.0,370000.0,390000.0,410000.0,437000.0,460000.0,535000.0,574000.0,565000.0,560000.0,3977,51538.533920372785,-38.11633459999999,145.307612
CRANBOURNE NORTH,361000.0,361000.0,370000.0,370000.0,375000.0,410000.0,455000.0,541000.0,600000.0,570000.0,570000.0,3977,51538.533920372785,-38.07,145.291
CRANBOURNE WEST,319000.0,319000.0,320000.0,330000.0,335000.0,350000.0,410000.0,510500.0,540000.0,520000.0,532500.0,3977,51538.533920372785,-38.1021731,145.25354480000001
CREMORNE,735000.0,735000.0,701000.0,821000.0,886500.0,1030000.0,1072000.0,1230000.0,1420000.0,1267000.0,1665000.0,3121,81748.72839948094,-37.83,144.993
CRIB POINT,330000.0,330000.0,350000.0,355000.0,339000.0,350000.0,402000.0,502500.0,555000.0,527500.0,597500.0,3919,47540.27066001108,-38.363,145.202
CROYDON,465000.0,465000.0,450000.0,470000.0,525000.0,605000.0,695000.0,810000.0,787500.0,732500.0,762500.0,3136,56641.797486085,-37.794384,145.2815432
CROYDON HILLS,532000.0,532000.0,538000.0,571500.0,606000.0,697000.0,730000.0,875000.0,877500.0,835000.0,927500.0,3136,56641.797486085,-37.775,145.266
CROYDON NORTH,505500.0,505500.0,520000.0,540500.0,600000.0,702500.0,790500.0,872000.0,840000.0,825000.0,895000.0,3136,56641.797486085,-37.766999999999996,145.287
CROYDON SOUTH,435500.0,435500.0,436500.0,442000.0,530000.0,600000.0,655000.0,800000.0,757500.0,716000.0,706000.0,3136,56641.797486085,-37.814,145.27100000000002
DALLAS,305000.0,305000.0,276500.0,280000.0,295000.0,321500.0,345000.0,430000.0,490000.0,451500.0,480000.0,3047,39113.32163877669,-37.668000000000006,144.94
DALYSTON,281500.0,281500.0,210000.0,245000.0,260000.0,257000.0,255000.0,273500.0,305000.0,373000.0,350000.0,3992,46237.832684824905,-38.5648841,145.5342757
DANDENONG,400500.0,400500.0,400000.0,405000.0,439000.0,485000.0,555500.0,619000.0,640000.0,602000.0,630000.0,3175,44498.309777936964,-37.9847811,145.21399069999998
DANDENONG NORTH,395000.0,395000.0,370000.0,390000.0,415500.0,481000.0,551000.0,633500.0,640000.0,605000.0,636000.0,3175,44498.309777936964,-37.9592436,145.206837
DARLEY,325000.0,325000.0,340500.0,330500.0,360000.0,377500.0,371500.0,430000.0,505000.0,520000.0,535000.0,3340,57808.90129950495,-37.654722,144.437222
DAYLESFORD,351500.0,351500.0,384500.0,385000.0,401500.0,442500.0,464000.0,502000.0,550000.0,590000.0,650000.0,3460,48607.45717732208,-37.35,144.15
DEER PARK,357000.0,357000.0,345000.0,348000.0,365000.0,390000.0,441000.0,552500.0,580000.0,550000.0,585000.0,3023,53627.19749716907,-37.770274900000004,144.77477280000002
DELACOMBE,278500.0,278500.0,285000.0,280000.0,292000.0,290000.0,319000.0,325000.0,360000.0,390000.0,368000.0,3356,43892.308443644775,-37.589,143.814
DELAHEY,370000.0,370000.0,360000.0,372500.0,370000.0,400000.0,458000.0,545000.0,575000.0,530000.0,602000.0,3037,54350.52323204324,-37.719,144.77700000000002
DERRIMUT,418000.0,418000.0,410000.0,417000.0,435000.0,466000.0,530000.0,635000.0,615000.0,649000.0,637500.0,3026,63393.80110497237,-37.79270820000001,144.7715559
DERRINALLUM,157500.0,157500.0,160000.0,97000.0,174000.0,125000.0,150000.0,162000.0,122500.0,221500.0,158500.0,3325,40087.21201413428,-37.948440999999995,143.21602969999998
DIAMOND CREEK,515000.0,515000.0,490000.0,513000.0,550000.0,580000.0,646500.0,755000.0,782500.0,751500.0,749500.0,3089,67848.87122659534,-37.671,145.155
DINGLEY VILLAGE,540000.0,540000.0,515000.0,553500.0,607000.0,690000.0,775500.0,887000.0,840500.0,810000.0,940000.0,3172,49561.75149045356,-37.9757588,145.1226002
DINNER PLAIN,450000.0,450000.0,410000.0,390000.0,309000.0,359000.0,400000.0,412500.0,510000.0,520000.0,452500.0,3898,44333.25407925408,-37.0238277,147.2413889
DONALD,165000.0,165000.0,104000.0,140000.0,120000.0,125000.0,145000.0,122000.0,145000.0,135500.0,154500.0,3480,39539.08047105005,-36.3694068,142.9819619
DONCASTER,770000.0,770000.0,720000.0,850000.0,999000.0,1176000.0,1297500.0,1380000.0,1300000.0,1251500.0,1260000.0,3108,57116.71754197928,-37.787397,145.1248634
DONCASTER EAST,720000.0,720000.0,682000.0,789000.0,894500.0,1113500.0,1230000.0,1357500.0,1221500.0,1190000.0,1317500.0,3109,55364.680096786906,-37.7891081,145.1619649
DONVALE,712500.0,712500.0,681000.0,735000.0,840000.0,964000.0,970000.0,1201000.0,1182500.0,1121000.0,1360000.0,3111,71109.88601167809,-37.7963916,145.1791034
DOVETON,322000.0,322000.0,290000.0,302000.0,310500.0,348000.0,405000.0,490000.0,542500.0,470000.0,494000.0,3177,41022.87342941611,-37.9876769,145.2394075
DROMANA,455000.0,455000.0,451000.0,462000.0,492000.0,552000.0,583000.0,690000.0,785500.0,715500.0,680000.0,3936,55124.093082114734,-38.338,144.965
DROUIN,289000.0,289000.0,290000.0,300000.0,311000.0,320000.0,347000.0,390000.0,455000.0,440000.0,470000.0,3818,48650.0318624504,-38.1353835,145.84874409999998
DRYSDALE,425000.0,425000.0,360000.0,385000.0,405000.0,410000.0,409000.0,436000.0,510000.0,572500.0,615000.0,3222,53366.55743732591,-38.18093289999999,144.5985292
EAGLE POINT,301500.0,301500.0,237000.0,227000.0,281500.0,335000.0,267500.0,250000.0,309000.0,360000.0,425000.0,3878,45432.98405103669,-37.8992112,147.67755640000001
EAGLEHAWK,240000.0,240000.0,260000.0,264000.0,274000.0,283000.0,270000.0,295000.0,315000.0,321500.0,335000.0,3556,45021.252223816366,-36.716667,144.25
EAGLEMONT,1500000.0,1500000.0,1343500.0,1340000.0,1522500.0,1730000.0,1895500.0,1963000.0,1950000.0,1799000.0,1777500.0,3084,71867.05636177516,-37.764477299999996,145.0628446
EAST BAIRNSDALE,176500.0,176500.0,190000.0,226000.0,160000.0,202500.0,212500.0,222000.0,225000.0,235000.0,335000.0,3875,46350.594813614254,-37.8361684,147.6495717
EAST BENDIGO,267000.0,267000.0,295000.0,285000.0,330000.0,300000.0,303500.0,335000.0,318000.0,390000.0,387000.0,3550,52519.36090651558,-36.74300530000001,144.3193914
EAST GEELONG,400000.0,400000.0,395000.0,450000.0,427000.0,440000.0,512500.0,600000.0,637000.0,625000.0,760000.0,3219,49038.209678894884,-38.162,144.3802
EAST MELBOURNE,1737500.0,1737500.0,2480000.0,1790000.0,1850000.0,2750000.0,3655000.0,3585000.0,2675000.0,3413500.0,2350000.0,3002,185437.16230789968,-37.813,144.985
EAST WARBURTON,332500.0,332500.0,282500.0,289500.0,275000.0,305000.0,369000.0,392500.0,428500.0,446500.0,544500.0,3799,45760.171794871785,-37.7370439,145.7421233
EASTWOOD,334000.0,334000.0,332000.0,335000.0,342000.0,335000.0,357500.0,380000.0,385000.0,410000.0,395000.0,3875,46350.594813614254,-37.8134091,147.6297389
ECHUCA,278000.0,278000.0,270000.0,285000.0,285000.0,300000.0,310000.0,320000.0,365000.0,370000.0,382000.0,3564,49424.96875963416,-36.1459548,144.74480069999998
EDITHVALE,590000.0,590000.0,625000.0,615000.0,670000.0,766000.0,930000.0,1058500.0,1047500.0,954000.0,1125000.0,3196,61535.588477101934,-38.037,145.113
ELLIMINYT,260000.0,260000.0,323000.0,332000.0,313000.0,318000.0,364000.0,366500.0,385000.0,445000.0,380000.0,3250,47869.29553695955,-38.3733285,143.5743866
ELMORE,188000.0,188000.0,160000.0,184000.0,176000.0,200000.0,220000.0,162000.0,227500.0,235000.0,235000.0,3558,46142.425661914465,-36.4967919,144.6087925
ELSTERNWICK,1200000.0,1200000.0,1155000.0,1365000.0,1315000.0,1621000.0,1723500.0,2087500.0,1955000.0,1750000.0,2001000.0,3185,92290.78219696971,-37.8849536,145.0059691
ELTHAM,625000.0,625000.0,591500.0,631500.0,670000.0,750000.0,820000.0,930000.0,942500.0,925000.0,897500.0,3095,70645.77356557376,-37.715,145.158
ELWOOD,1150000.0,1150000.0,1287500.0,1346000.0,1412500.0,1631000.0,1830000.0,1900000.0,2140000.0,1952500.0,1750000.0,3184,88315.5586400217,-37.882248600000004,144.9825759
ENDEAVOUR HILLS,400000.0,400000.0,390000.0,400000.0,432000.0,496500.0,550000.0,630500.0,651000.0,620000.0,676000.0,3802,49449.25317177476,-37.9749174,145.2581884
EPPING,385000.0,385000.0,365000.0,366500.0,386500.0,400000.0,455000.0,557500.0,600000.0,550000.0,560000.0,3076,49231.260600706715,-37.6376635,145.0264991
EPSOM,325000.0,325000.0,315000.0,322500.0,342500.0,340000.0,340000.0,352000.0,357000.0,371500.0,410000.0,3551,54901.89786336059,-36.7,144.316667
ESSENDON,895000.0,895000.0,920000.0,870000.0,942000.0,1228000.0,1365000.0,1408500.0,1666000.0,1447000.0,1175000.0,3040,78506.78717919982,-37.7504821,144.9143187
ESSENDON NORTH,875500.0,875500.0,686000.0,725000.0,840000.0,808000.0,875000.0,1105000.0,1092500.0,1100000.0,1327500.0,3041,72131.62724715666,-37.7383196,144.89925559999998
ESSENDON WEST,742500.0,742500.0,720000.0,720000.0,785000.0,920000.0,962500.0,1296000.0,1221000.0,1160000.0,995000.0,3040,78506.78717919982,-37.755,144.88299999999998
EUMEMMERRING,350000.0,350000.0,327500.0,353000.0,365000.0,408500.0,450500.0,517500.0,622000.0,540000.0,556500.0,3177,41022.87342941611,-37.999,145.247
EUREKA,257500.0,257500.0,237000.0,243500.0,259000.0,247500.0,275000.0,251500.0,315500.0,360000.0,315000.0,3350,56145.194797098164,-37.5648,143.8822
EUROA,185000.0,185000.0,215000.0,208000.0,230000.0,235500.0,265000.0,239000.0,270000.0,309000.0,327500.0,3666,44999.81236363637,-36.75,145.566667
FAIRHAVEN,715000.0,715000.0,990000.0,785000.0,955000.0,897500.0,1052500.0,880000.0,1020000.0,1395000.0,1400000.0,3231,57331.72558139535,-38.45611100000001,144.085833
FERNTREE GULLY,430500.0,430500.0,429500.0,451000.0,505000.0,599000.0,660000.0,749000.0,732500.0,692000.0,742000.0,3156,57861.10644792063,-37.8826855,145.2776105
FERNY CREEK,525000.0,525000.0,456000.0,497500.0,492500.0,621000.0,750000.0,798000.0,830000.0,733000.0,925000.0,3786,66935.2882231405,-37.878,145.335
FINGAL,700000.0,700000.0,600000.0,677500.0,730000.0,857500.0,840000.0,1000000.0,1350000.0,1240000.0,1415000.0,3939,47514.5609847072,-38.421110999999996,144.86111100000002
FITZROY,880000.0,880000.0,918500.0,945000.0,1130000.0,1300000.0,1600000.0,1625000.0,1450000.0,1392500.0,1135500.0,3065,80098.1630834512,-37.801111,144.97888899999998
FLINDERS,822000.0,822000.0,710000.0,765000.0,808000.0,839000.0,1225000.0,1525000.0,1697500.0,1670000.0,1300000.0,3929,80791.78506097561,-38.474000000000004,145.02200000000002
FLORA HILL,285000.0,285000.0,309000.0,310000.0,323500.0,321000.0,325000.0,335000.0,352500.0,370000.0,389000.0,3550,52519.36090651558,-36.7793071,144.29480790000002
FOOTSCRAY,568000.0,568000.0,568000.0,600000.0,645000.0,690500.0,775000.0,882000.0,899000.0,810000.0,920000.0,3011,56672.252318472216,-37.7988987,144.892357
FOREST HILL,560000.0,560000.0,565000.0,650500.0,720500.0,892000.0,933500.0,1060000.0,935000.0,900000.0,1004000.0,3131,56153.483168463004,-37.8347413,145.1727369
FOSTER,265000.0,265000.0,269500.0,298000.0,315000.0,325000.0,315000.0,320000.0,333500.0,325000.0,362500.0,3960,43706.260750853246,-38.65,146.2
FRANKSTON,357000.0,357000.0,340000.0,350000.0,372000.0,426000.0,475000.0,600000.0,605000.0,580500.0,611500.0,3199,54280.81679655325,-38.1466246,145.135722
FRANKSTON NORTH,277000.0,277000.0,245000.0,255000.0,269000.0,297000.0,352000.0,470000.0,502000.0,423000.0,455000.0,3200,42515.84248010055,-38.123000000000005,145.153
FRANKSTON SOUTH,533500.0,533500.0,510000.0,535000.0,560000.0,620000.0,690000.0,815500.0,855000.0,817500.0,785000.0,3199,54280.81679655325,-38.188,145.153
GARFIELD,345000.0,345000.0,335000.0,405000.0,355000.0,370000.0,405000.0,419000.0,540000.0,540000.0,585000.0,3814,51571.704561403516,-38.0999051,145.6800684
GEELONG,475000.0,475000.0,463000.0,500000.0,512000.0,607500.0,590000.0,735000.0,750000.0,720000.0,750000.0,3220,77651.72762194033,-38.1499181,144.3617186
GEELONG WEST,405000.0,405000.0,410000.0,440000.0,469000.0,490000.0,543500.0,656500.0,711000.0,675000.0,780000.0,3218,73394.2321959339,-38.133333,144.35
GEMBROOK,385000.0,385000.0,349000.0,344000.0,400000.0,440000.0,525000.0,565000.0,610000.0,650000.0,630000.0,3783,55476.19790940767,-37.95,145.541
GISBORNE,430000.0,430000.0,429500.0,496000.0,510000.0,550000.0,635000.0,655000.0,770000.0,730000.0,720000.0,3437,67549.04223896028,-37.48999999999999,144.588889
GLADSTONE PARK,385000.0,385000.0,380000.0,392500.0,400000.0,460000.0,525000.0,645000.0,630000.0,636500.0,660000.0,3043,53728.035861662414,-37.6926696,144.8951801
GLEN WAVERLEY,718000.0,718000.0,720000.0,815000.0,960000.0,1212500.0,1220500.0,1340000.0,1300000.0,1270000.0,1235000.0,3150,58410.972428838024,-37.87435019999999,145.1668205
GLENROY,457500.0,457500.0,437500.0,454000.0,500000.0,560000.0,600000.0,740000.0,725000.0,700000.0,740000.0,3046,51742.57556190852,-37.706246500000006,144.9161373
GOLDEN BEACH,229000.0,229000.0,206000.0,169500.0,172500.0,180000.0,212500.0,209500.0,225500.0,220000.0,310000.0,3851,49494.91379992092,-38.22809470000001,147.3757681
GOLDEN POINT (BALLARAT),258000.0,258000.0,250000.0,265000.0,265000.0,259000.0,295000.0,305000.0,347500.0,370000.0,385000.0,3350,56145.194797098164,-37.574,143.868
GOLDEN SQUARE,270000.0,270000.0,285000.0,295000.0,305000.0,306000.0,315000.0,320000.0,334000.0,340000.0,352000.0,3555,46923.70038185713,-36.766667,144.25
GORDON,300000.0,300000.0,229500.0,278500.0,303000.0,290000.0,330000.0,404000.0,402500.0,495000.0,649500.0,3345,58739.69210866753,-37.583333,144.1
GOUGHS BAY,180000.0,180000.0,220000.0,257500.0,247500.0,265000.0,235000.0,257500.0,345500.0,299500.0,500000.0,3723,43077.590303030294,-37.1646432,146.06890380000002
GOWANBRAE,555500.0,555500.0,467500.0,616500.0,557500.0,573000.0,619000.0,790000.0,727500.0,700500.0,820000.0,3043,53728.035861662414,-37.7062908,144.8948907
GRANTVILLE,235000.0,235000.0,245000.0,215000.0,255000.0,250000.0,272500.0,339500.0,402500.0,397500.0,421000.0,3984,46068.99575163399,-38.4,145.533333
GREENVALE,545000.0,545000.0,537000.0,550000.0,539500.0,500000.0,510000.0,650000.0,720000.0,715000.0,728000.0,3059,59971.37320309621,-37.633,144.88299999999998
GROVEDALE,345000.0,345000.0,340000.0,352000.0,362000.0,370000.0,400000.0,432000.0,495000.0,505000.0,551500.0,3216,55101.450297268566,-38.2,144.35
HADFIELD,486000.0,486000.0,430000.0,461500.0,500000.0,550000.0,624500.0,740500.0,740000.0,727500.0,712500.0,3046,51742.57556190852,-37.71,144.95
HALLAM,360000.0,360000.0,360000.0,362500.0,380000.0,424000.0,460500.0,580000.0,630000.0,560000.0,590000.0,3803,46699.47509050164,-38.0063441,145.273282
HAMILTON,217500.0,217500.0,189000.0,192500.0,200000.0,200000.0,217000.0,190000.0,225000.0,208500.0,250000.0,3300,46492.279733110925,-37.7455702,142.0178976
HAMLYN HEIGHTS,348000.0,348000.0,339500.0,363500.0,366500.0,382500.0,415000.0,500000.0,545000.0,540000.0,560000.0,3215,54563.18455870039,-38.12,144.32
HAMPTON,1282500.0,1282500.0,1200000.0,1270000.0,1340000.0,1650000.0,1800000.0,2022500.0,1905000.0,1896000.0,1650000.0,3188,98007.25880375157,-37.937,145.009
HAMPTON EAST,747500.0,747500.0,732500.0,770000.0,862500.0,1020000.0,1200000.0,1340000.0,1230000.0,1195000.0,1252500.0,3188,98007.25880375157,-37.939,145.031
HAMPTON PARK,335000.0,335000.0,320000.0,330000.0,337500.0,370000.0,410000.0,505000.0,550000.0,502000.0,532000.0,3976,45020.94232780517,-38.0283807,145.26874850000002
HARKNESS,336500.0,336500.0,329000.0,330000.0,340000.0,350000.0,360000.0,419500.0,485000.0,475000.0,470000.0,3337,50699.360244798045,-37.666939899999996,144.5636846
HASTINGS,350000.0,350000.0,347000.0,345000.0,368000.0,365000.0,400000.0,507500.0,519500.0,506000.0,555000.0,3915,50046.64059113301,-38.306,145.189
HASTINGS WEST,272000.0,272000.0,282500.0,280000.0,277000.0,289500.0,338000.0,425000.0,480000.0,430000.0,561000.0,3915,50046.64059113301,-38.306,145.189
HAWTHORN,1330000.0,1330000.0,1405000.0,1575000.0,1606500.0,1916500.0,2240000.0,2650000.0,2488000.0,2195500.0,2578000.0,3122,106270.52321054207,-37.8226005,145.0353696
HAWTHORN EAST,1250500.0,1250500.0,1300000.0,1247500.0,1554000.0,1850000.0,1890000.0,2350000.0,2215000.0,2050000.0,1857500.0,3123,97108.24196328972,-37.8303331,145.047703
HEALESVILLE,380000.0,380000.0,380000.0,385500.0,400000.0,445000.0,457000.0,550000.0,601000.0,579500.0,574000.0,3777,50892.161342109495,-37.656110999999996,145.51388899999998
HEATHCOTE,200000.0,200000.0,220000.0,227500.0,260000.0,240000.0,268500.0,275000.0,310000.0,332500.0,357500.0,3523,45410.24658314352,-36.916667,144.7
HEATHERTON,632000.0,632000.0,630000.0,630000.0,712000.0,771000.0,845000.0,981000.0,935000.0,965000.0,890000.0,3202,64240.28486293207,-37.95,145.085
HEATHMONT,509000.0,509000.0,525000.0,589000.0,638000.0,760000.0,789000.0,925000.0,932000.0,871000.0,910000.0,3135,58371.5064621029,-37.83,145.24200000000002
HEIDELBERG,770000.0,770000.0,750000.0,772500.0,840500.0,1060000.0,1150000.0,1280000.0,1107500.0,1122500.0,1302000.0,3084,71867.05636177516,-37.752695,145.0703364
HEIDELBERG HEIGHTS,537500.0,537500.0,500000.0,536500.0,564500.0,676500.0,750000.0,843000.0,820000.0,777500.0,752500.0,3081,51783.0222163097,-37.742,145.053
HEIDELBERG WEST,420000.0,420000.0,400000.0,425500.0,461000.0,580000.0,630000.0,730500.0,700000.0,665000.0,790000.0,3081,51783.0222163097,-37.744,145.047
HEPBURN,310000.0,310000.0,275000.0,291000.0,330000.0,395000.0,375000.0,440000.0,425000.0,452500.0,485000.0,3461,47640.712939160236,-37.31182329999999,144.125661
HEPBURN SPRINGS,308000.0,308000.0,310000.0,340000.0,350000.0,380000.0,414000.0,515000.0,490000.0,595000.0,559000.0,3461,47640.712939160236,-37.314750200000006,144.14746619999997
HERNE HILL,325000.0,325000.0,321000.0,350000.0,357000.0,368500.0,402000.0,490000.0,550000.0,534000.0,560000.0,3218,73394.2321959339,-38.1329,144.3305
HEYFIELD,175000.0,175000.0,171500.0,200000.0,180000.0,182500.0,195000.0,178500.0,206500.0,195000.0,227500.0,3858,47315.117537313425,-37.9827396,146.79116059999998
HEYWOOD,167500.0,167500.0,153000.0,142000.0,150000.0,173000.0,160000.0,164000.0,166000.0,178000.0,176500.0,3304,45521.72173913044,-38.133333,141.61666709999997
HIGHTON,450000.0,450000.0,460000.0,477500.0,510000.0,505000.0,555000.0,622500.0,681000.0,690000.0,697000.0,3216,55101.450297268566,-38.171,144.31799999999998
HOPETOUN,55500.0,55500.0,81000.0,88000.0,95500.0,75000.0,80000.0,92000.0,86000.0,66000.0,142500.0,3396,47660.2558685446,-35.7243809,142.35834409999998
HOPPERS CROSSING,328000.0,328000.0,312500.0,321500.0,340000.0,365500.0,415000.0,516000.0,552000.0,528500.0,545000.0,3029,50247.87480844041,-37.8629027,144.6854533
HORSHAM,210000.0,210000.0,220000.0,215000.0,215000.0,240000.0,245000.0,262500.0,255000.0,269000.0,260000.0,3400,47377.82433396765,-36.7188618,142.19623159999998
HUGHESDALE,740000.0,740000.0,741500.0,820000.0,856000.0,1165000.0,1222500.0,1420000.0,1277500.0,1150500.0,1480000.0,3166,59685.01294141942,-37.8966159,145.0832264
HUNTINGDALE,610000.0,610000.0,590000.0,659000.0,728000.0,835000.0,924500.0,1132000.0,1010000.0,914000.0,1278000.0,3166,59685.01294141942,-37.9074344,145.1086176
HUNTLY,250000.0,250000.0,215000.0,337500.0,325000.0,355000.0,340000.0,335000.0,357500.0,367500.0,372500.0,3551,54901.89786336059,-36.664933000000005,144.32895359999998
HURSTBRIDGE,457500.0,457500.0,445000.0,482000.0,482000.0,547500.0,614500.0,714000.0,731000.0,700000.0,740000.0,3099,61948.650742414466,-37.638889,145.195
INDENTED HEAD,347000.0,347000.0,430000.0,390000.0,385000.0,382500.0,395000.0,455000.0,575500.0,606000.0,728500.0,3223,51295.167619047614,-38.138056,144.71
INGLEWOOD,208500.0,208500.0,186500.0,160000.0,145000.0,200000.0,152500.0,182500.0,180000.0,185000.0,250000.0,3517,42814.91568047337,-36.576389,143.868889
INVERMAY PARK,363500.0,363500.0,370000.0,378000.0,387000.0,405000.0,377500.0,391000.0,465000.0,475000.0,497000.0,3350,56145.194797098164,-37.5305636,143.8590384
IRONBARK,287000.0,287000.0,280000.0,277000.0,280000.0,292500.0,365000.0,280000.0,320000.0,296000.0,465500.0,3550,52519.36090651558,-36.7555238,144.2634067
IRYMPLE,228000.0,228000.0,215000.0,248000.0,228500.0,268000.0,255000.0,291000.0,310000.0,380000.0,365000.0,3498,49363.3939604304,-34.233333,142.166667
IVANHOE,980000.0,980000.0,907500.0,1100000.0,1203000.0,1125000.0,1400000.0,1515000.0,1600000.0,1540000.0,1422500.0,3079,89529.67476933994,-37.7703,145.0457
IVANHOE EAST,1300000.0,1300000.0,1200000.0,1310000.0,1513000.0,1542500.0,1764500.0,1975000.0,1914000.0,1765000.0,1990000.0,3079,89529.67476933994,-37.772,145.066
JACANA,345000.0,345000.0,310500.0,334000.0,342500.0,375000.0,423000.0,571500.0,555000.0,512500.0,510000.0,3047,39113.32163877669,-37.687232,144.9128564
JACKASS FLAT,255000.0,255000.0,357500.0,287500.0,360000.0,350500.0,345500.0,299000.0,310000.0,331500.0,345000.0,3556,45021.252223816366,-36.716667,144.283333
JAMIESON,215000.0,215000.0,267500.0,205000.0,210000.0,258500.0,220000.0,266500.0,265000.0,311500.0,345000.0,3723,43077.590303030294,-37.2977261,146.1609645
JAN JUC,587500.0,587500.0,570000.0,555000.0,595000.0,615000.0,716000.0,850000.0,905000.0,870000.0,860000.0,3228,65440.092416309686,-38.333333,144.3
JEERALANG NORTH,129000.0,129000.0,159500.0,145500.0,187500.0,175000.0,140000.0,248000.0,169500.0,235000.0,296000.0,3840,51028.486712029786,-38.3169578,146.49552659999998
JEPARIT,101500.0,101500.0,59000.0,80500.0,63000.0,89000.0,124000.0,66500.0,77000.0,81000.0,88000.0,3423,47022.69189189188,-36.1331326,141.94379750000002
JUNCTION VILLAGE,287500.0,287500.0,300000.0,312000.0,320000.0,370000.0,389000.0,436000.0,509000.0,483500.0,467500.0,3977,51538.533920372785,-38.132,145.293
JUNORTOUN,425000.0,425000.0,465000.0,490000.0,508500.0,417500.0,490000.0,512500.0,506500.0,530000.0,589000.0,3551,54901.89786336059,-36.7778248,144.379516
KALIMNA,312500.0,312500.0,268000.0,230000.0,285000.0,300000.0,270000.0,276500.0,326500.0,292500.0,325000.0,3909,42403.3870967742,-37.866369,147.9673981
KALKALLO,375000.0,375000.0,272500.0,450000.0,450000.0,180000.0,432500.0,529500.0,550000.0,532500.0,540000.0,3064,48947.56433383063,-37.5245635,144.955677
KALLISTA,482000.0,482000.0,452500.0,425000.0,465000.0,523000.0,567500.0,676000.0,737500.0,700000.0,564000.0,3791,59649.611344537814,-37.883,145.372
KALORAMA,440000.0,440000.0,420000.0,442500.0,451000.0,496000.0,533000.0,670000.0,686500.0,645000.0,642000.0,3766,58646.70469798657,-37.818000000000005,145.366
KANGAROO FLAT,270000.0,270000.0,284500.0,292500.0,300000.0,303000.0,300000.0,310000.0,325000.0,340000.0,370000.0,3555,46923.70038185713,-36.783333,144.23333300000002
KANGAROO GROUND SOUTH,606500.0,606500.0,631000.0,615000.0,655000.0,650000.0,670000.0,853500.0,930000.0,815500.0,1080000.0,3097,75597.63803680982,-37.686,145.216
KEALBA,372500.0,372500.0,375000.0,370000.0,390000.0,400000.0,470000.0,595000.0,612000.0,596000.0,600000.0,3021,42223.78227998957,-37.7327512,144.8238362
KEILOR DOWNS,405000.0,405000.0,400000.0,403500.0,429000.0,496500.0,562000.0,667500.0,664000.0,630000.0,650000.0,3038,56019.97016678412,-37.722,144.803
KEILOR PARK,501000.0,501000.0,480000.0,455000.0,512500.0,565000.0,650000.0,741000.0,770000.0,708000.0,660000.0,3042,61603.53271028037,-37.7200817,144.85145769999997
KENNINGTON,306000.0,306000.0,300000.0,351500.0,345000.0,334000.0,355000.0,372000.0,383500.0,373500.0,411000.0,3550,52519.36090651558,-36.768937,144.305733
KENSINGTON,650000.0,650000.0,650000.0,690000.0,730000.0,822000.0,908000.0,1022500.0,1020000.0,980000.0,1150000.0,3031,68530.03710337769,-37.79412070000001,144.9276659
KERANG,150000.0,150000.0,150000.0,152000.0,145000.0,152000.0,167000.0,160000.0,177000.0,170000.0,160000.0,3579,42068.764563106786,-35.7409643,143.92619309999998
KEW,1650000.0,1650000.0,1500000.0,1751000.0,1950000.0,2080000.0,2200000.0,2320000.0,2337500.0,2255000.0,2200000.0,3101,104399.15134020617,-37.807432399999996,145.02886740000002
KEW EAST,1056000.0,1056000.0,1005000.0,1210000.0,1314000.0,1600000.0,1655000.0,1876000.0,1800000.0,1837000.0,1905000.0,3102,83231.37637614679,-37.791629,145.0482331
KEW NORTH,1071000.0,1071000.0,995500.0,1260000.0,1301000.0,1665000.0,1805000.0,1905000.0,1852500.0,1833000.0,2307500.0,3101,104399.15134020617,-37.807432399999996,145.02886740000002
KEYSBOROUGH,430000.0,430000.0,425000.0,435000.0,456500.0,559500.0,650000.0,745000.0,768000.0,740000.0,745000.0,3173,52724.3622417032,-37.99892020000001,145.1743519
KIALLA,360000.0,360000.0,318500.0,360000.0,365000.0,367500.0,374000.0,390000.0,418000.0,450000.0,420000.0,3631,53091.941192411934,-36.441,145.43
KILCUNDA,330000.0,330000.0,350000.0,375000.0,320000.0,400000.0,480000.0,504000.0,496000.0,533000.0,662000.0,3995,42294.49112097669,-38.5498,145.4761
KILLARA (WODONGA),212500.0,212500.0,116500.0,351000.0,344000.0,360000.0,425000.0,400000.0,420000.0,453500.0,413000.0,3691,54142.68248407644,-36.138593799999995,146.952051
KILMORE,325000.0,325000.0,312000.0,327500.0,319000.0,336500.0,333000.0,387500.0,440000.0,435000.0,467500.0,3764,55001.87948570332,-37.3016566,144.9497232
